name	value
1935 deaths	1700
German-language films	1697
1859 births	1693
Pittsburgh Pirates players	1691
Pyramidellidae	1689
Olympic gold medalists for the United States	1684
Houses on the National Register of Historic Places in Massachusetts	1682
1933 deaths	1682
Members of the Parliament of Norway	1680
Chicago Cubs players	1680
1861 births	1679
Medieval Gaels	1676
Japan-exclusive video games	1674
1934 deaths	1668
2000s comedy films	1666
People from Montreal	1664
Actors from California	1663
Mountains of the Alps	1662
Canadian ice hockey defencemen	1662
Astronomical objects discovered in 1999	1660
Populated places in Central Province, Sri Lanka	1648
WikiProject user templates	1644
Bacteria	1643
2004 films	1641
Muricidae	1640
Athletes (track and field) at the 2004 Summer Olympics	1640
American silent film actors	1639
Opera composers	1634
American photographers	1633
Male rowers	1629
Chicago White Sox players	1629
1858 births	1629
Live video albums	1626
DOS games	1625
American Roman Catholics	1625
1932 deaths	1614
1929 deaths	1611
Boston Red Sox players	1609
Billboard Hot Country Songs number-one singles	1609
Liberal Party (UK) MPs	1608
All-American college football players	1606
1998 albums	1601
Indian film actors	1598
2005 singles	1597
Scottish Premier League players	1593
Labour Party (UK) MPs	1593
2011 films	1592
Film poster images	1591
Arcade games	1589
British Army personnel of World War II	1587
1917 deaths	1587
Flora of California	1584
Serie B footballers	1579
Indian actors	1574
Detroit Tigers players	1568
Belgian Pro League players	1567
United States Navy ship names	1565
People from Vienna	1564
American television films	1561
United States Army generals	1559
1930 deaths	1558
Washington Redskins players	1555
People from Berlin	1555
Harvard University faculty	1552
Flora of New South Wales	1552
1931 deaths	1552
1857 births	1552
1916 deaths	1551
Indian politicians	1550
United States Navy officers	1545
American physicians	1544
1997 albums	1542
English football managers	1541
American soap opera actors	1541
Cleveland Indians players	1536
University of Paris alumni	1533
1990s American television series	1529
Films based on plays	1525
American military personnel of World War I	1525
New York University alumni	1524
1856 births	1523
People from County Galway	1519
1996 albums	1510
Serbian footballers	1509
Recipients of the Purple Heart medal	1507
Expatriate footballers in Belgium	1506
1927 deaths	1495
Radio station logos	1489
Companies listed on the New York Stock Exchange	1488
J. League Division 1 players	1487
1915 deaths	1486
Soviet footballers	1484
English painters	1484
1924 deaths	1484
University of Chicago alumni	1483
Japanese-language films	1478
Columbia Records albums	1477
Single-engine aircraft	1476
African-American basketball players	1475
2000s British television series	1471
Double compilation albums	1469
1928 deaths	1469
Expatriate footballers in Greece	1467
Athletes (track and field) at the 2000 Summer Olympics	1466
Impact craters on the Moon	1464
1919 deaths	1462
Australian television actors	1458
Football Conference players	1452
Canadian films	1451
University of Toronto alumni	1450
Communes of Algeria	1450
Massachusetts Institute of Technology alumni	1449
American basketball players	1449
2003 films	1449
Association football wingers	1448
Warner Bros. films	1444
2011 singles	1442
Baronetcies	1438
American television personalities	1438
English poets	1436
American chief executives	1436
Unincorporated communities in Wisconsin	1434
Olympic medalists in swimming	1434
1850 births	1432
Major League Soccer players	1431
Argentine films	1430
Members of the Order of the British Empire	1429
1994 births	1422
Members of the House of Commons of Canada from Ontario	1420
American rock guitarists	1420
American philanthropists	1417
Alumni of the University of Oxford	1417
1925 deaths	1417
French painters	1414
Süper Lig players	1409
2004 singles	1408
Recipients of the Distinguished Service Medal (United States)	1403
1854 births	1403
Animals described in 1758	1395
American non-fiction writers	1395
People from Detroit, Michigan	1394
Portuguese footballers	1393
Roman Catholic dioceses and prelatures established in the 20th century	1392
2010s American television series	1391
British Army generals	1388
Baronets in the Baronetage of the United Kingdom	1387
German military personnel of World War I	1386
1855 births	1385
New York Yankees players	1384
Members of the Parliament of Great Britain for English constituencies	1379
Film soundtracks	1377
Coleophora	1373
Bayer objects	1373
1922 deaths	1371
Expatriate footballers in Russia	1370
American football cornerbacks	1370
1995 albums	1370
Tamil-language films	1368
Debut singles	1368
American television directors	1366
Stanley Cup champions	1363
1980s drama films	1360
1844 births	1360
People from San Francisco, California	1358
Army Medal of Honor recipients	1356
Baseball players from Pennsylvania	1355
American architects	1355
American Christians	1355
Henry Draper Catalogue objects	1353
Companions of the Distinguished Service Order	1352
Olympic medalists in football	1350
Cerambycidae	1349
1920 deaths	1349
1852 births	1345
1921 deaths	1344
Expatriate soccer players in the United States	1343
Buffalo Bisons (minor league) players	1340
American football defensive ends	1340
United States Military Academy alumni	1335
Shooting guards	1335
J. League Division 2 players	1332
Members of the United States House of Representatives from New York	1331
1943 ships	1329
1851 births	1327
English rugby league players	1324
Companions of the Order of the Bath	1324
1848 births	1323
Polish footballers	1321
People from Amsterdam	1321
Asteraceae genera	1320
Expatriate footballers in Portugal	1316
Critically endangered plants	1315
2003 singles	1315
Indianapolis Indians players	1314
People from Paris	1313
1923 deaths	1313
Athletes (track and field) at the 1996 Summer Olympics	1310
2002 films	1310
American physicists	1309
1914 deaths	1307
Flora of Queensland	1306
1926 deaths	1306
Burials at Arlington National Cemetery	1303
American rock music groups	1303
Xbox 360 games	1299
1994 albums	1299
American country singers	1298
Swedish footballers	1296
People from New York	1295
People from Buenos Aires	1295
Genera of birds	1293
Centers (basketball)	1293
2000s documentary films	1293
1944 ships	1293
League of Ireland players	1291
American basketball coaches	1287
Unincorporated communities in Indiana	1285
1840 births	1285
Olympic track and field athletes of the United States	1281
American musicians	1280
1970s drama films	1278
American inventors	1277
American actors	1276
1853 births	1276
Fellows of the American Academy of Arts and Sciences	1272
1849 births	1270
German Jews	1269
World Championships in Athletics medalists	1268
Knights Commander of the Order of the Bath	1268
English actors	1268
Japanese actors	1265
Universal Pictures films	1264
PlayStation games	1264
Cities and towns in Lombardy	1264
Wikipedia sockpuppets	1263
American football offensive guards	1263
Republic of Ireland association footballers	1261
English rugby union players	1261
NBC network shows	1258
American dramatists and playwrights	1257
Alumni of the University of Edinburgh	1257
21st-century classical composers	1257
1846 births	1257
Enzymes of unknown structure	1256
Video game development companies	1255
Sequel films	1254
Commodore 64 games	1254
American record labels	1254
American mathematicians	1254
American Broadcasting Company network shows	1253
People from County Dublin	1251
Asteroids named for places	1251
Bulgarian A Professional Football Group players	1249
Point guards	1248
University of Minnesota alumni	1247
2012 albums	1245
PlayStation 3 games	1243
New York Giants players	1242
Jewish surnames	1242
Cities and towns in Piedmont	1241
1837 births	1241
Former populated places in California	1238
Liga I players	1237
German composers	1236
1842 births	1235
Expatriate footballers in Chile	1234
People from St. Louis, Missouri	1233
1847 births	1233
1912 deaths	1231
Olympic silver medalists for the United States	1230
Members of the Pennsylvania House of Representatives	1230
American indie rock groups	1228
1841 births	1228
1913 deaths	1226
1843 births	1226
Philadelphia Eagles players	1225
Japanese voice actors	1225
Olympic medalists in gymnastics	1221
English novelists	1220
Deaths from lung cancer	1220
Emmy Award winners	1219
Teachtaí Dála	1218
Detroit Lions players	1211
20th Century Fox films	1209
1839 births	1209
Discographies of American artists	1208
American racing drivers	1208
American military personnel of the Vietnam War	1208
Power forwards (basketball)	1207
Expatriate footballers in Cyprus	1205
Unprintworthy redirects	1204
University of California, Los Angeles alumni	1202
Hong Kong films	1202
American football safeties	1202
K-League players	1198
English composers	1197
African-American musicians	1197
Metro-Goldwyn-Mayer films	1195
University of Southern California alumni	1193
Place name disambiguation pages	1192
Members of the House of Commons of Canada from Quebec	1190
Barons in the Peerage of the United Kingdom	1190
Paramount Pictures films	1188
Video game sequels	1187
England international footballers	1187
Video games developed in the United Kingdom	1186
American reality television series	1185
Carabidae	1184
American women writers	1182
Actors from New York City	1180
American football offensive tackles	1178
1911 deaths	1178
Small forwards	1177
2001 films	1175
RPM Country Tracks number-one singles	1174
Geometridae	1174
People from Baltimore, Maryland	1171
British journalists	1171
Amiga games	1170
American musical theatre actors	1170
American comedians	1169
English male singers	1168
Chicago Bears players	1168
American science fiction novels	1167
Propeller aircraft	1165
Exclude in print	1165
Medicinal plants	1164
Least concern plants	1163
2000 films	1163
1845 births	1163
American radio personalities	1160
North American Soccer League (1968–1984) players	1159
1909 deaths	1159
1835 births	1159
Romanian footballers	1157
Marvel Comics supervillains	1157
Baseball players from New York	1157
1993 albums	1156
German emigrants to the United States	1155
Cancer deaths in California	1154
1908 deaths	1153
Nintendo DS games	1151
Australian films	1151
Ukrainian Premier League players	1150
People from Cleveland, Ohio	1149
20th-century American novels	1149
Superleague Greece players	1148
Double live albums	1148
Diptera of Europe	1147
Birmingham City F.C. players	1144
People from Tokyo	1143
Rear-wheel-drive vehicles	1142
1910 deaths	1142
1838 births	1142
American horror films	1138
Expatriate footballers in Turkey	1137
Pop ballads	1135
Ukrainian footballers	1134
American football defensive tackles	1134
Country radio stations in the United States	1132
1904 deaths	1131
Wikipedia 1.0 assessments	1130
Stoke City F.C. players	1129
Italian composers	1129
Bulgarian footballers	1129
2012 films	1128
1832 births	1128
Canadian ice hockey centres	1126
UK Singles Chart number-one singles	1124
Recipients of the Military Cross	1122
CBS network shows	1122
1836 births	1119
Royal Navy ship names	1117
American television sitcoms	1117
Villages in Belgaum district	1115
Sports fan user templates	1114
1905 deaths	1114
Films set in New York City	1113
Columbia University faculty	1113
American science fiction writers	1112
Lost films	1111
Association football fullbacks	1110
University of Pennsylvania alumni	1109
Olympic medalists in ice hockey	1109
American short story writers	1108
Video games developed in the United States	1106
American bloggers	1106
Hungarian footballers	1105
African-American actors	1105
Operatic sopranos	1103
Australian cricketers	1101
1907 deaths	1101
English businesspeople	1100
Deaths from stroke	1100
1900 deaths	1100
English writers	1099
American children's writers	1099
21st-century American novels	1098
IP addresses used for vandalism	1097
German films	1097
American economists	1097
Astronomical objects discovered in 1997	1096
Marylebone Cricket Club cricketers	1095
20th-century Anglican bishops	1095
South Korean footballers	1094
French Quebecers	1094
Calpinae	1094
Recipients of the Silver Star	1093
1990s comedy films	1093
1830 births	1092
Racehorses trained in the United States	1090
PGA Tour golfers	1090
American professional wrestlers	1090
Members of the New York State Assembly	1089
Expatriate footballers in the Netherlands	1087
1820 births	1087
1828 births	1086
Given names	1083
1901 deaths	1083
2002 singles	1082
1899 deaths	1081
American activists	1078
English rock music groups	1077
Rivers of the Mureş subbasin	1075
People from Milwaukee, Wisconsin	1075
British television actors	1075
1891 deaths	1075
1833 births	1075
1825 births	1074
American male golfers	1073
People from Washington, D.C.	1072
Alumni of Christ Church, Oxford	1071
1831 births	1070
American sculptors	1069
Cities in Iran	1067
British film actors	1067
2001 singles	1067
1826 births	1067
1999 films	1066
1897 deaths	1066
Women painters	1065
1822 births	1063
Astronomical objects discovered in 1991	1062
1824 births	1060
Manchester United F.C. players	1057
Alumni of the University of Cambridge	1057
Olympic medalists in field hockey	1056
Major League Baseball first basemen	1056
Villages in Illinois	1055
Olympic bronze medalists for the United States	1055
English-language compilation albums	1055
1903 deaths	1053
People from Manhattan	1051
1823 births	1049
Major League Baseball third basemen	1048
1999 singles	1048
Cleveland Browns players	1047
Wii games	1045
British writers	1044
Burnley F.C. players	1043
Christian terms	1040
Athletes (track and field) at the 1992 Summer Olympics	1040
1898 deaths	1040
1834 births	1040
1818 births	1040
1980s American television series	1038
Musical quartets	1037
General Service Areas in  Nova Scotia	1037
Categories by country	1037
1829 births	1037
Officers of the Order of Canada	1036
American people of Polish descent	1036
Major League Baseball second basemen	1035
1827 births	1035
Royal Navy admirals	1034
English songwriters	1033
Columbia Pictures films	1033
1992 albums	1033
People from New Orleans, Louisiana	1032
1906 deaths	1032
People from Rome	1031
Cities in Texas	1031
1819 births	1031
Polish Jews	1029
1998 films	1026
Norwegian Premier League players	1025
1892 deaths	1024
Endemic fauna of Brazil	1023
Members of the United States House of Representatives from Pennsylvania	1021
Billboard Hot 100 number-one singles	1021
United States Naval Academy alumni	1020
1895 deaths	1019
Fish of South America	1017
French film actors	1015
24 Hours of Le Mans drivers	1013
1902 deaths	1010
American racehorses	1009
1817 births	1009
2000 singles	1007
1821 births	1007
Brown University alumni	1004
San Francisco 49ers players	1003
College Football Hall of Fame inductees	1003
People from Birmingham, West Midlands	1002
American football tight ends	1002
1950s drama films	1002
1896 deaths	1002
2012 singles	1001
1960s drama films	1001
Telugu-language films	1000
Flora of Brazil	1000
American political writers	1000
